Index,IQ,CGPA,Placement
1360,114,5.82,1
1361,76,8.64,0
1362,117,6.91,0
1363,99,5.26,0
1364,103,7.11,1
1365,89,7.63,1
1366,103,6.9,0
1367,93,8.69,1
1368,104,7.14,1
1369,125,6.52,0
1370,122,5.71,1
1371,82,9.08,1
1372,101,4.15,0
1373,89,5.95,1
1374,119,7.09,1
1375,88,5.57,0
1376,93,9.12,1
1377,105,8.3,0
1378,103,6.26,1
1379,110,8.05,1
1380,114,9.09,1
1381,109,4.67,0
1382,110,6.67,0
1383,108,6.72,0
1384,106,5.75,1
1385,101,7.54,1
1386,95,6.92,0
1387,112,6.42,0
1388,98,7.91,1
1389,101,8.18,1
1390,81,6.58,1
1391,90,6.55,1
1392,104,7.23,1
1393,99,7.19,1
1394,92,5.98,0
1395,110,10.0,1
1396,98,6.71,0
1397,108,8.6,1
1398,70,6.11,1
1399,81,4.0,0
1400,108,5.27,0
1401,90,6.95,1
1402,112,4.0,0
1403,88,6.44,0
1404,116,4.2,0
1405,113,9.4,1
1406,109,4.27,0
1407,117,6.79,1
1408,84,7.53,1
1409,111,7.19,1
1410,81,8.7,1
1411,112,4.61,0
1412,126,6.31,1
1413,103,4.22,0
1414,96,7.78,1
1415,81,7.03,1
1416,112,6.72,0
1417,108,7.09,1
1418,108,8.25,0
1419,126,6.67,1
1420,119,6.4,0
1421,100,6.72,1
1422,109,4.01,0
1423,118,6.62,1
1424,84,5.29,0
1425,103,5.96,0
1426,103,7.31,1
1427,82,8.42,0
1428,93,7.08,1
1429,107,8.91,1
1430,112,6.2,0
1431,101,8.49,1
1432,89,6.98,0
1433,93,6.21,0
1434,90,7.78,0
1435,81,5.92,0
1436,102,6.15,1
1437,78,7.49,1
1438,98,8.21,1
1439,121,7.02,0
1440,104,6.65,1
1441,88,5.73,0
1442,96,8.06,1
1443,98,7.75,1
1444,116,7.08,1
1445,95,4.47,0
1446,74,6.36,1
1447,107,9.53,1
1448,95,6.84,1
1449,81,5.48,0
1450,74,6.87,1
1451,79,7.37,1
1452,108,6.35,1
1453,115,7.23,0
1454,109,8.47,1
1455,136,6.06,0
1456,94,7.11,1
1457,96,5.27,0
1458,119,7.7,0
1459,135,7.21,1
1460,107,7.05,1
1461,107,5.95,0
1462,94,4.79,0
1463,113,7.52,1
1464,109,6.05,1
1465,84,5.54,0
1466,121,8.12,1
1467,121,5.57,0
1468,103,7.99,0
1469,99,7.56,1
1470,94,6.71,0
1471,70,7.08,1
1472,108,4.07,0
1473,71,8.72,0
1474,123,8.12,1
1475,88,7.29,0
1476,106,6.12,0
1477,71,7.12,1
1478,96,7.77,1
1479,100,6.32,0
1480,84,7.11,1
1481,115,4.09,0
1482,91,6.94,1
1483,127,6.11,0
1484,122,7.22,1
1485,109,5.18,0
1486,81,7.73,1
1487,132,7.98,1
1488,96,5.18,0
1489,111,6.95,1
1490,109,8.6,1
1491,113,7.98,1
1492,98,7.86,0
1493,120,5.13,0
1494,92,7.57,0
1495,81,7.39,0
1496,118,6.8,1
1497,90,5.97,0
1498,117,9.15,1
1499,121,4.0,0
1500,90,4.91,0
1501,111,6.5,0
1502,115,7.17,1
1503,103,5.14,0
1504,96,5.49,0
1505,91,6.22,1
1506,110,5.54,1
1507,121,7.49,1
1508,122,8.4,1
1509,116,6.73,1
1510,107,8.12,1
1511,91,7.84,1
1512,108,6.38,0
1513,116,5.34,0
1514,77,5.96,0
1515,113,6.66,0
1516,111,6.48,0
1517,117,8.02,1
1518,103,6.38,0
1519,110,6.05,0
1520,88,9.21,1
1521,108,7.91,1
1522,117,5.08,0
1523,105,5.97,0
1524,117,5.98,0
1525,101,5.15,0
1526,96,7.96,1
1527,90,6.79,1
1528,102,8.47,1
1529,118,6.16,0
1530,95,7.07,1
1531,72,6.79,0
1532,100,8.61,1
1533,124,6.5,1
1534,129,8.64,1
1535,101,6.32,0
1536,115,5.63,0
1537,74,8.82,1
1538,105,6.37,1
1539,70,6.78,0
1540,98,9.22,1
1541,116,7.3,1
1542,94,5.77,0
1543,111,4.64,0
1544,110,7.97,1
1545,70,7.53,0
1546,74,4.0,0
1547,106,6.48,0
1548,114,9.06,0
1549,104,4.54,0
1550,101,7.68,1
1551,114,7.78,1
1552,100,5.48,0
1553,92,8.87,1
1554,96,6.14,1
1555,102,5.9,0
1556,92,6.85,1
1557,80,7.47,1
1558,117,5.45,0
1559,121,8.01,1
1560,101,5.99,0
1561,94,5.35,0
1562,93,5.47,0
1563,97,6.68,1
1564,119,7.54,0
1565,102,7.51,1
1566,106,6.14,0
1567,83,7.73,0
1568,113,6.62,0
1569,97,8.14,1
1570,95,7.63,0
1571,110,6.91,0
1572,140,8.46,1
1573,106,8.21,1
1574,105,6.38,1
1575,70,7.09,0
1576,128,6.83,0
1577,104,5.34,0
1578,109,8.14,1
1579,105,4.89,0
1580,112,7.49,1
1581,111,9.05,1
1582,107,5.28,1
1583,106,8.35,1
1584,101,6.23,1
1585,109,4.7,0
1586,95,7.81,1
1587,115,7.74,1
1588,90,7.15,1
1589,101,8.24,1
1590,105,5.44,0
1591,105,4.0,0
1592,104,8.48,1
1593,70,7.19,1
1594,79,5.43,0
1595,100,7.82,1
1596,73,6.56,1
1597,99,6.64,1
1598,102,5.03,0
1599,75,4.0,0
1600,112,6.72,0
1601,94,6.43,1
1602,93,7.71,1
1603,98,7.86,1
1604,114,5.67,0
1605,101,8.65,1
1606,114,6.41,0
1607,102,5.62,0
1608,104,7.14,1
1609,116,8.09,1
1610,118,5.14,0
1611,114,4.12,0
1612,97,5.74,0
1613,95,5.67,0
1614,115,6.6,1
1615,112,4.0,0
1616,96,7.47,1
1617,143,7.54,1
1618,122,10.0,1
1619,119,6.98,0
1620,97,5.64,0
1621,84,6.69,0
1622,107,6.75,0
1623,97,10.0,1
1624,86,7.13,1
1625,89,4.92,0
1626,94,8.15,1
1627,125,5.61,0
1628,114,6.14,1
1629,129,7.12,1
1630,92,5.09,0
1631,103,5.31,0
1632,79,5.23,0
1633,114,6.25,0
1634,89,6.28,0
1635,118,6.1,1
1636,109,5.65,0
1637,124,7.96,1
1638,85,7.1,1
1639,99,8.69,1
1640,129,7.23,1
1641,126,7.43,1
1642,98,7.13,1
1643,102,8.34,1
1644,128,8.37,1
1645,113,6.8,1
1646,119,4.84,0
1647,101,6.92,0
1648,131,8.26,1
1649,84,6.26,1
1650,108,8.55,1
1651,119,7.26,1
1652,102,8.28,1
1653,112,6.35,0
1654,103,7.23,1
1655,101,5.48,0
1656,100,8.83,1
1657,103,5.39,0
1658,82,4.88,0
1659,106,7.35,1
1660,87,8.04,0
1661,102,7.59,1
1662,101,6.9,1
1663,140,4.0,1
1664,103,7.59,1
1665,104,7.8,1
1666,117,5.61,0
1667,98,4.29,0
1668,115,5.02,0
1669,112,5.77,0
1670,128,7.83,1
1671,101,6.91,0
1672,73,9.66,1
1673,110,6.72,0
1674,102,4.56,0
1675,86,5.36,0
1676,124,6.82,0
1677,123,7.82,1
1678,115,10.0,1
1679,94,9.07,1
1680,112,4.43,0
1681,92,7.96,1
1682,73,6.77,1
1683,102,7.82,0
1684,110,6.42,0
1685,88,7.79,1
1686,102,6.21,0
1687,120,6.33,0
1688,116,6.51,0
1689,129,6.77,1
1690,87,6.49,0
1691,81,7.08,0
1692,105,8.25,1
1693,127,5.41,0
1694,106,5.3,0
1695,139,6.78,1
1696,106,5.8,0
1697,94,4.85,0
1698,103,6.32,0
1699,88,5.73,0
1700,120,7.5,1
1701,106,7.36,1
1702,89,6.86,1
1703,106,6.13,0
1704,104,4.83,0
1705,112,9.14,0
1706,81,7.94,0
1707,98,6.44,1
1708,115,5.84,0
1709,104,7.01,0
1710,111,7.98,1
1711,111,4.58,0
1712,112,7.82,1
1713,95,6.0,0
1714,120,6.23,1
1715,106,6.63,0
1716,116,7.26,0
1717,92,7.53,1
1718,91,6.78,0
1719,148,6.54,0
1720,109,4.0,0
1721,105,7.91,1
1722,97,6.59,1
1723,88,7.23,0
1724,98,5.41,0
1725,132,4.98,0
1726,103,6.82,1
1727,98,6.52,0
1728,120,4.06,0
1729,108,5.51,1
1730,95,6.74,0
1731,96,4.21,0
1732,120,6.33,0
1733,118,6.34,1
1734,107,7.88,1
1735,117,8.42,1
1736,89,6.89,0
1737,88,6.55,1
1738,110,7.51,1
1739,97,6.08,1
1740,131,6.82,1
1741,91,10.0,1
1742,98,7.38,1
1743,119,9.33,1
1744,89,6.44,0
1745,136,4.84,0
1746,107,7.97,1
1747,92,7.85,1
1748,119,6.78,1
1749,81,7.95,1
1750,90,6.05,1
1751,82,5.66,0
1752,98,5.77,0
1753,135,8.55,1
1754,109,7.38,1
1755,92,8.33,0
1756,84,7.81,1
1757,143,5.12,0
1758,98,7.9,0
1759,86,5.71,0
1760,95,7.72,1
1761,113,9.07,1
1762,86,8.71,1
1763,118,9.0,1
1764,82,5.51,0
1765,102,6.91,1
1766,115,7.19,1
1767,100,8.0,0
1768,101,8.31,1
1769,92,5.74,0
1770,100,8.53,1
1771,107,5.88,0
1772,82,6.49,0
1773,113,7.11,1
1774,121,7.09,0
1775,104,6.08,0
1776,112,4.35,0
1777,101,7.16,1
1778,93,6.1,0
1779,92,6.31,1
1780,89,7.4,0
1781,96,6.34,0
1782,100,4.0,0
1783,105,7.66,1
1784,107,8.43,1
1785,118,4.52,0
1786,77,6.42,0
1787,106,6.89,1
1788,102,4.7,0
1789,100,6.12,1
1790,86,5.22,0
1791,103,7.4,1
1792,143,4.0,0
1793,96,5.98,0
1794,91,9.16,1
1795,105,8.69,1
1796,85,4.0,0
1797,107,6.94,1
1798,83,7.92,1
1799,115,4.15,0
1800,87,6.24,0
1801,106,5.61,0
1802,82,8.41,1
1803,121,6.06,1
1804,93,8.03,1
1805,114,6.26,1
1806,96,5.15,0
1807,87,8.1,1
1808,102,7.72,1
1809,104,5.72,0
1810,94,5.94,0
1811,99,7.76,0
1812,104,8.46,1
1813,104,5.96,0
1814,92,6.04,1
1815,101,4.91,0
1816,109,4.83,0
1817,106,9.19,1
1818,119,8.76,1
1819,100,5.35,1
1820,104,7.72,1
1821,93,4.05,0
1822,109,7.15,0
1823,106,8.92,1
1824,99,6.1,0
1825,129,6.54,1
1826,97,8.34,1
1827,111,6.92,1
1828,70,7.84,0
1829,111,5.8,0
1830,98,8.23,1
1831,136,7.4,1
1832,103,5.89,0
1833,128,7.78,0
1834,107,4.87,0
1835,117,5.33,0
1836,101,6.6,1
1837,115,7.69,1
1838,122,4.67,0
1839,114,5.06,0
1840,93,5.87,0
1841,95,5.6,0
1842,121,6.82,1
1843,103,8.61,1
1844,124,7.09,0
1845,142,5.32,0
1846,86,8.13,1
1847,130,8.51,1
1848,99,4.46,1
1849,112,6.11,1
1850,90,7.37,1
1851,114,6.71,1
1852,106,8.27,1
1853,116,5.34,0
1854,95,7.85,1
1855,115,8.32,1
1856,109,5.4,0
1857,97,6.32,1
1858,90,4.06,0
1859,107,4.91,0
1860,133,8.23,1
1861,110,8.43,1
1862,95,4.0,1
1863,128,6.03,0
1864,93,7.34,1
1865,78,7.37,1
1866,106,7.44,1
1867,103,6.5,1
1868,111,7.11,1
1869,99,8.06,1
1870,114,9.27,1
1871,106,6.08,0
1872,102,6.34,1
1873,102,6.35,0
1874,90,7.47,1
1875,103,7.26,1
1876,92,7.31,0
1877,117,7.01,1
1878,93,7.79,1
1879,89,6.32,1
1880,116,6.02,0
1881,125,7.86,1
1882,95,9.0,1
1883,119,6.55,0
1884,103,8.38,1
1885,92,8.21,1
1886,125,5.86,0
1887,91,6.81,1
1888,97,4.79,0
1889,115,4.38,0
1890,142,6.86,1
1891,147,4.95,0
1892,107,8.68,1
1893,97,5.47,0
1894,89,6.87,1
1895,82,8.56,1
1896,85,6.56,1
1897,78,7.26,1
1898,130,7.53,1
1899,93,6.65,1
1900,104,6.5,1
1901,95,6.32,0
1902,119,7.22,0
1903,133,6.92,1
1904,117,7.36,1
1905,98,7.43,1
1906,113,4.13,0
1907,130,5.73,0
1908,98,5.1,0
1909,101,6.99,1
1910,102,6.86,1
1911,102,6.0,0
1912,113,8.78,1
1913,106,7.27,1
1914,105,4.75,0
1915,110,6.26,1
1916,104,5.43,0
1917,86,8.75,1
1918,102,5.34,1
1919,100,6.07,0
1920,105,7.52,0
1921,83,6.95,1
1922,114,6.69,1
1923,80,9.44,1
1924,115,5.63,1
1925,85,7.43,1
1926,105,7.78,0
1927,94,7.44,1
1928,102,7.63,1
1929,134,4.35,0
1930,80,4.0,0
1931,107,6.4,0
1932,151,6.44,1
1933,95,7.21,1
1934,98,9.35,1
1935,107,4.0,0
1936,145,6.48,0
1937,126,7.11,1
1938,70,7.76,0
1939,107,5.05,1
1940,105,7.18,1
1941,122,5.96,0
1942,103,6.85,0
1943,125,6.47,0
1944,88,7.95,1
1945,98,4.13,0
1946,86,5.97,0
1947,87,4.71,0
1948,115,6.04,0
1949,90,5.51,0
1950,108,6.14,1
1951,90,4.87,0
1952,71,6.07,0
1953,95,8.54,1
1954,99,4.29,0
1955,96,5.88,0
1956,95,6.26,1
1957,108,7.3,1
1958,124,5.43,0
1959,110,5.66,0
1960,70,8.75,1
1961,82,4.73,1
1962,93,5.63,1
1963,99,6.48,1
1964,84,4.67,0
1965,120,4.6,0
1966,105,8.33,1
1967,70,6.59,0
1968,91,6.26,1
1969,70,9.14,1
1970,112,6.68,1
1971,111,6.47,0
1972,116,4.18,0
1973,88,8.55,1
1974,114,6.91,0
1975,92,7.74,1
1976,122,7.36,0
1977,93,6.94,0
1978,130,7.42,1
1979,81,8.54,1
1980,85,7.88,1
1981,81,7.49,1
1982,95,8.43,1
1983,82,6.99,0
1984,94,7.93,1
1985,117,6.63,0
1986,98,9.68,1
1987,136,6.85,1
1988,125,6.98,1
1989,123,7.27,0
1990,119,6.8,1
1991,72,7.43,1
1992,129,7.67,1
1993,112,5.4,0
1994,134,7.35,1
1995,96,5.68,0
1996,111,6.25,0
1997,109,5.4,0
1998,117,7.04,1
1999,86,7.46,1
2000,88,5.92,0
2001,96,6.5,0
2002,100,4.58,0
2003,92,6.72,1
2004,107,8.33,1
2005,92,9.85,0
2006,102,8.15,1
2007,110,10.0,1
2008,100,6.96,1
2009,82,4.05,0
2010,80,6.21,0
2011,91,4.8,0
2012,117,4.43,0
2013,117,8.14,1
2014,138,6.3,0
2015,98,6.8,1
2016,84,5.59,0
2017,120,6.29,1
2018,110,8.9,1
2019,120,10.0,1
2020,105,7.81,1
2021,140,7.05,0
2022,92,8.34,1
2023,97,7.61,1
2024,107,7.43,0
2025,93,5.01,0
2026,84,8.67,1
2027,109,8.51,0
2028,103,6.33,0
2029,81,7.17,1
2030,116,6.93,1
2031,91,6.9,1
2032,87,6.92,0
2033,94,5.98,0
2034,87,7.29,0
2035,120,10.0,1
2036,113,5.78,0
2037,86,7.47,1
2038,101,5.36,0
2039,92,7.57,1
2040,103,7.01,1
2041,108,8.94,1
2042,122,8.9,1
2043,83,7.22,0
2044,133,6.85,0
2045,87,8.33,1
2046,105,8.14,1
2047,104,6.78,0
2048,113,6.49,1
2049,99,4.73,0
2050,133,5.56,1
2051,91,7.81,0
2052,102,5.51,0
2053,81,7.0,1
2054,86,4.65,0
2055,95,8.39,1
2056,102,7.41,1
2057,106,6.27,0
2058,110,6.43,1
2059,86,9.03,1
2060,119,6.37,0
2061,134,6.71,0
2062,111,8.43,1
2063,124,8.32,1
2064,94,8.14,1
2065,102,4.8,0
2066,100,6.3,0
2067,88,10.0,1
2068,87,9.01,1
2069,106,6.71,0
2070,119,6.98,1
2071,85,5.55,0
2072,105,5.12,0
2073,125,8.48,1
2074,103,9.43,1
2075,100,4.8,0
2076,117,5.92,1
2077,99,6.54,1
2078,101,8.16,1
2079,105,5.74,0
2080,101,5.49,0
2081,118,5.95,0
2082,113,7.7,1
2083,120,6.0,1
2084,144,7.22,1
2085,71,8.75,0
2086,89,6.34,0
2087,116,6.58,0
2088,95,7.0,1
2089,119,8.15,1
2090,99,7.84,0
2091,88,6.24,0
2092,118,6.54,0
2093,105,6.96,1
2094,118,8.23,1
2095,95,5.34,0
2096,126,6.36,1
2097,127,7.51,1
2098,87,7.75,1
2099,87,6.31,0
2100,101,4.78,0
2101,121,4.07,0
2102,92,8.0,1
2103,105,6.54,1
2104,86,7.65,0
2105,115,10.0,0
2106,119,6.65,0
2107,104,6.26,0
2108,97,4.82,0
2109,114,8.75,1
2110,124,4.9,0
2111,100,6.64,0
2112,115,6.18,1
2113,104,5.5,0
2114,102,6.57,1
2115,106,6.19,0
2116,87,5.79,0
2117,89,4.9,0
2118,73,6.47,0
2119,81,4.03,0
2120,118,8.37,1
2121,115,8.75,1
2122,101,4.0,0
2123,98,6.44,0
2124,121,8.58,1
2125,121,7.3,0
2126,118,6.9,1
2127,83,6.08,0
2128,111,8.58,1
2129,83,7.98,0
2130,75,6.79,0
2131,95,5.54,1
2132,106,5.0,1
2133,83,7.26,1
2134,99,7.51,1
2135,125,6.68,1
2136,98,7.05,0
2137,103,4.27,0
2138,110,5.85,0
2139,127,7.49,1
2140,87,5.65,0
2141,107,6.03,0
2142,92,8.9,0
2143,98,5.92,0
2144,82,4.92,0
2145,100,4.92,0
2146,112,7.54,1
2147,103,4.86,0
2148,116,5.54,0
2149,98,4.0,0
2150,100,8.16,1
2151,95,4.69,0
2152,87,8.19,1
2153,106,6.27,1
2154,102,7.64,1
2155,117,5.61,0
2156,112,5.87,0
2157,100,6.98,0
2158,77,7.66,1
2159,91,6.46,0
2160,115,4.0,0
2161,100,7.78,1
2162,101,4.83,1
2163,124,6.95,1
2164,119,7.73,0
2165,110,8.2,1
2166,104,6.3,0
2167,86,7.41,1
2168,120,6.44,1
2169,112,5.09,0
2170,128,8.04,1
2171,100,7.0,1
2172,130,7.0,1
2173,110,6.31,0
2174,99,7.93,1
2175,109,6.32,0
2176,105,5.68,0
2177,111,8.96,1
2178,94,7.95,1
2179,115,6.08,0
2180,109,4.0,0
2181,102,6.92,1
2182,81,5.65,0
2183,113,6.78,0
2184,110,5.75,0
2185,83,6.65,0
2186,115,8.76,1
2187,125,6.53,0
2188,104,7.79,1
2189,102,7.11,0
2190,103,4.95,0
2191,97,7.02,1
2192,95,5.39,0
2193,78,6.4,1
2194,100,4.64,0
2195,106,8.8,1
2196,91,7.18,1
2197,87,8.86,1
2198,77,8.66,0
2199,95,4.33,0
2200,85,6.88,0
2201,111,6.72,1
2202,92,7.06,1
2203,108,7.75,0
2204,86,9.88,1
2205,104,8.33,1
2206,83,6.48,0
2207,107,7.31,1
2208,95,4.0,0
2209,126,5.97,0
2210,81,7.44,1
2211,93,5.74,0
2212,110,4.96,0
2213,104,5.26,0
2214,92,5.86,1
2215,131,7.57,1
2216,121,7.08,1
2217,99,5.75,0
2218,96,9.34,1
2219,128,6.64,1
2220,117,5.92,1
2221,70,5.79,1
2222,86,6.5,1
2223,115,7.14,1
2224,110,6.97,1
2225,116,6.84,1
2226,95,6.03,1
2227,109,7.8,1
2228,105,7.0,1
2229,91,4.34,0
2230,112,5.82,1
2231,111,7.53,1
2232,119,8.38,1
2233,92,8.47,1
2234,71,4.84,0
2235,87,6.22,0
2236,126,6.39,1
2237,126,8.81,1
2238,75,7.45,1
2239,103,9.24,1
2240,113,8.32,1
2241,70,6.1,0
2242,92,6.49,0
2243,131,9.15,1
2244,107,5.85,0
2245,112,7.94,1
2246,149,5.36,0
2247,99,4.6,0
2248,89,5.51,1
2249,112,6.09,0
2250,118,5.73,0
2251,110,4.08,0
2252,110,7.49,1
2253,107,7.95,1
2254,109,9.13,1
2255,111,9.79,1
2256,129,5.92,0
2257,105,4.0,0
2258,88,7.95,1
2259,109,7.95,1
2260,123,6.81,0
2261,101,7.76,1
2262,119,5.21,0
2263,115,6.68,0
2264,118,5.95,0
2265,125,8.95,1
2266,100,8.52,1
2267,91,4.0,0
2268,92,6.62,0
2269,115,6.27,1
2270,111,4.79,0
2271,73,4.81,0
2272,75,4.73,0
2273,96,9.59,1
2274,91,7.58,0
2275,96,4.71,0
2276,102,6.19,1
2277,93,5.19,0
2278,110,5.15,0
2279,78,5.99,0
2280,95,6.01,1
2281,92,10.0,1
2282,106,7.47,1
2283,90,5.23,0
2284,105,4.38,0
2285,130,7.01,1
2286,95,8.06,1
2287,132,9.51,1
2288,104,8.24,1
2289,92,6.06,0
2290,111,7.73,0
2291,98,4.91,0
2292,113,5.77,0
2293,80,7.06,1
2294,94,6.54,1
2295,92,4.73,0
2296,95,6.66,0
2297,157,5.06,0
2298,94,6.05,0
2299,88,6.74,0
2300,119,6.88,0
2301,98,6.29,1
2302,87,6.3,0
2303,91,4.0,0
2304,94,8.43,1
2305,85,5.28,1
2306,131,6.76,0
2307,95,7.41,1
2308,74,4.95,0
2309,88,6.71,0
2310,93,7.99,0
2311,104,8.03,1
2312,126,6.16,0
2313,85,6.2,0
2314,124,8.14,1
2315,121,4.23,0
2316,99,7.78,1
2317,122,4.75,0
2318,90,4.34,0
2319,132,10.0,1
2320,121,7.12,1
2321,99,7.07,1
2322,96,6.69,0
2323,117,5.31,1
2324,133,8.43,1
2325,105,7.25,1
2326,128,4.07,0
2327,124,6.41,0
2328,86,6.02,0
2329,136,6.77,1
2330,113,8.15,1
2331,121,5.92,0
2332,116,6.06,0
2333,110,7.9,1
2334,115,6.47,0
2335,116,9.05,1
2336,125,8.82,1
2337,105,8.02,1
2338,100,7.37,0
2339,92,8.61,1
2340,135,4.52,0
2341,105,8.39,1
2342,109,5.22,1
2343,109,4.89,0
2344,112,5.42,0
2345,123,4.6,0
2346,70,5.7,1
2347,98,7.45,0
2348,116,6.02,1
2349,103,5.02,0
2350,119,7.36,1
2351,109,7.0,1
2352,100,6.76,1
2353,115,8.95,1
2354,94,6.96,1
2355,90,6.26,0
2356,129,4.0,0
2357,90,4.88,0
2358,115,8.56,1
2359,135,7.58,1
2360,110,8.54,1
2361,95,6.37,0
2362,107,4.16,0
2363,117,6.13,1
2364,83,8.47,0
2365,79,10.0,1
2366,91,4.83,0
2367,103,6.94,1
2368,114,6.26,0
2369,102,4.0,0
2370,90,7.03,1
2371,90,8.29,1
2372,131,6.29,1
2373,115,6.19,0
2374,97,6.74,1
2375,75,6.83,1
2376,107,8.63,1
2377,102,7.63,1
2378,99,7.52,1
2379,95,6.06,1
2380,70,7.35,0
2381,79,7.23,1
2382,113,4.0,0
2383,93,7.76,1
2384,91,7.72,1
2385,73,8.43,1
2386,92,6.24,0
2387,104,7.57,1
2388,93,6.64,1
2389,103,8.32,1
2390,97,6.45,1
2391,114,8.72,1
2392,122,5.45,0
2393,94,7.24,1
2394,115,5.5,0
2395,115,4.0,0
2396,100,4.0,0
2397,105,6.69,1
2398,116,7.22,0
2399,103,9.29,1
2400,107,6.89,0
2401,92,4.36,0
2402,109,8.89,1
2403,122,10.0,1
2404,85,6.23,1
2405,113,5.97,1
2406,88,4.37,0
2407,70,6.51,1
2408,104,5.23,0
2409,104,7.02,1
2410,89,9.16,1
2411,115,5.92,0
2412,101,7.19,1
2413,90,7.76,1
2414,92,5.9,1
2415,95,6.64,0
2416,76,4.74,0
2417,93,8.28,1
2418,115,9.35,0
2419,114,5.98,0
2420,134,6.82,1
2421,125,6.59,1
2422,118,6.91,1
2423,92,4.4,0
2424,118,6.48,1
2425,94,5.32,0
2426,103,7.88,1
2427,125,9.55,1
2428,123,5.32,0
2429,120,8.01,1
2430,70,5.9,0
2431,90,6.97,1
2432,92,5.32,0
2433,121,5.87,0
2434,98,7.27,0
2435,70,8.23,1
2436,89,5.44,0
2437,93,7.11,1
2438,88,8.95,1
2439,123,7.3,1
2440,114,6.64,1
2441,108,7.46,1
2442,122,7.37,1
2443,97,10.0,1
2444,140,8.75,1
2445,109,6.75,0
2446,105,8.49,1
2447,111,7.99,1
2448,98,5.37,0
2449,85,5.54,0
2450,91,6.98,0
2451,122,8.64,1
2452,109,6.48,0
2453,134,5.74,1
2454,120,6.02,0
2455,116,9.22,1
2456,85,6.09,0
2457,105,6.25,1
2458,112,9.56,1
2459,114,7.6,1
2460,118,7.35,1
2461,93,6.45,0
2462,100,7.24,1
2463,117,8.6,1
2464,85,6.32,0
2465,77,8.74,1
2466,110,8.71,0
2467,113,6.65,0
2468,93,9.13,1
2469,115,4.17,0
2470,120,6.94,1
2471,111,10.0,1
2472,116,5.52,0
2473,101,6.2,0
2474,87,8.24,1
2475,113,6.34,1
2476,108,4.62,0
2477,83,7.45,1
2478,98,7.21,1
2479,104,4.68,0
2480,131,10.0,1
2481,116,4.31,0
2482,116,6.12,1
2483,101,6.16,0
2484,89,8.23,1
2485,89,5.53,0
2486,95,4.91,0
2487,104,5.15,0
2488,136,5.6,0
2489,99,6.21,1
2490,119,6.37,0
2491,124,6.67,0
2492,71,7.07,0
2493,99,6.48,0
2494,96,6.36,0
2495,95,8.52,1
2496,108,7.93,0
2497,93,5.96,0
2498,89,6.1,0
2499,136,4.0,0
2500,130,6.97,0
2501,106,5.87,0
2502,108,5.71,0
2503,97,9.24,1
2504,108,6.15,1
2505,112,9.3,1
2506,70,7.74,1
2507,81,7.05,1
2508,103,5.69,0
2509,98,4.72,0
2510,123,7.66,1
2511,98,6.06,1
2512,98,4.0,0
2513,100,7.65,1
2514,116,8.69,1
2515,112,6.82,1
2516,116,9.15,1
2517,133,4.66,0
2518,117,7.17,1
2519,104,5.58,0
2520,82,5.22,0
2521,118,7.31,0
2522,99,5.09,0
2523,96,5.28,1
2524,95,8.88,1
2525,84,4.0,0
2526,96,4.8,0
2527,115,6.76,1
2528,114,5.65,0
2529,117,7.35,0
2530,92,7.65,1
2531,103,8.83,1
2532,81,5.33,0
2533,108,6.62,1
2534,112,5.61,0
2535,94,5.54,0
2536,99,6.73,1
2537,70,5.67,1
2538,127,5.29,0
2539,127,4.96,0
2540,92,6.09,1
2541,94,10.0,1
2542,121,7.49,1
2543,110,8.3,1
2544,119,7.79,0
2545,98,5.26,0
2546,126,4.24,0
2547,106,6.18,1
2548,119,6.03,0
2549,135,5.4,0
2550,121,6.26,0
2551,112,8.32,1
2552,127,4.0,0
2553,92,8.72,1
2554,94,7.73,1
2555,114,5.36,0
2556,104,6.74,1
2557,74,7.27,1
2558,92,5.76,0
2559,70,5.82,0
2560,112,5.67,0
2561,128,8.19,1
2562,97,7.56,1
2563,102,7.37,1
2564,127,6.58,1
2565,126,8.24,1
2566,111,7.99,1
2567,88,5.88,0
2568,93,6.38,1
2569,104,5.78,0
2570,109,4.93,0
2571,109,8.62,0
2572,94,8.45,1
2573,86,6.56,1
2574,107,6.82,1
2575,83,5.0,0
2576,110,7.03,1
2577,108,6.23,1
2578,106,4.46,0
2579,112,7.09,0
2580,115,6.6,1
2581,113,7.34,0
2582,126,7.21,1
2583,125,6.83,1
2584,117,5.79,0
2585,106,5.46,1
2586,83,4.98,0
2587,115,5.36,1
2588,127,6.76,1
2589,79,7.77,1
2590,118,6.51,0
2591,111,7.94,1
2592,120,5.37,0
2593,90,6.26,0
2594,106,10.0,1
2595,105,6.95,0
2596,104,8.38,1
2597,93,5.5,1
2598,106,8.47,1
2599,100,7.0,1
2600,92,5.85,0
2601,107,6.58,0
2602,111,9.21,1
2603,76,7.61,1
2604,107,6.24,1
2605,107,5.99,1
2606,98,7.13,1
2607,117,6.11,0
2608,119,8.43,1
2609,101,7.07,0
2610,102,7.84,1
2611,100,7.1,0
2612,115,6.69,0
2613,99,6.71,1
2614,114,6.25,0
2615,126,5.55,0
2616,95,6.34,0
2617,100,7.3,1
2618,89,5.6,1
2619,91,4.0,0
2620,135,7.01,0
2621,95,6.16,0
2622,117,7.93,1
2623,115,8.94,1
2624,147,5.54,0
2625,99,5.97,0
2626,96,7.36,0
2627,101,8.6,0
2628,107,7.47,0
2629,80,7.62,1
2630,107,8.28,0
